fecha,id_kpi,nivel,valor,unidad,tipo_dato
8/7/2024 0:00,SM_DISPONIBILIDAD_BOMBAS_GEHO,7LD,0,%,real
8/7/2024 20:40,MP10_HOTELMINA,MINUTES,237.3106903,ug/m3N,real
8/8/2024 0:00,AXB,7LD,18.25759221,tbd,real
8/8/2024 0:00,COEFICIENTE_DE_MARCHA_LINEA_123,MTD,70.10738072,%,plan mensual
8/8/2024 0:00,COEFICIENTE_DE_MARCHA_LINEA_123,MTD,27.97303196,%,real
8/8/2024 0:00,DF_PALA_ELECTRICA_03,7LD,0,%,real
8/8/2024 0:00,DF_PALA_ELECTRICA_03,YTDSB,0,%,real
8/8/2024 0:00,DF_PALA_ELECTRICA_07,7LD,0,%,real
8/8/2024 0:00,DF_PALA_ELECTRICA_07,MTD,0,%,real
8/8/2024 0:00,ENVIO_DESALADORA_PROMEDIO_DIA,HFWTD,112.0406181,l/s,plan mensual
8/8/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO,YTDS,5433.125925,kt,null
8/8/2024 0:00,RECIRCULACION_PTAS,7LDM,30.47694054,l/s,plan mensual
8/8/2024 0:00,RECIRCULACION_TEM,MTD,3046.78126,l/s,real
8/8/2024 0:00,TRANSPORTADO_STMG,7LD,425.9695798,kt,real
8/8/2024 5:50,MP10_CHACAY,MINUTES,13.31698598,ug/m3N,real
8/8/2024 11:20,MP10_HOTELMINA,MINUTES,64.05592882,ug/m3N,real
8/9/2024 0:00,ARENAS_PRODUCIDAS,WTD,34.47623344,kt,real
8/9/2024 0:00,BWI,MTD,2.145600494,kWh/t,real
8/9/2024 0:00,CAMPAMENTO_EL_QUILLAY,YTD,0,l/s,real
8/9/2024 0:00,DISPONIBILIDAD_FISICA_PALAS,YTDSB,9.720817934,%,real
8/9/2024 0:00,ENVIO_STR,YTDSB,1.79E+07,t,real
8/9/2024 0:00,EXTRACCION_MINA,YTD,34960.16112,kt,real
8/9/2024 0:00,EXTRACCION_MINA_F10N,YTDSB,394.9728268,kt,real
8/9/2024 0:00,EXTRACCION_MINA_F12N,DAYM,2.842605197,kt,plan mensual
8/9/2024 0:00,PRODUCCION_MOLIBDENO_LEY_CAB_ST,WTD,0,ppm,real
8/9/2024 0:00,RECUPERACION_CU,FWTD,0,Tms,real
8/9/2024 0:00,TRANSPORTADO_STC,FWTDS,1188.695049,t,plan semanal
8/9/2024 13:50,MP10_HOTELMINA,MINUTES,2.691150802,ug/m3N,real
8/10/2024 0:00,BATIMETRIA_MAURO,BMTD,1.492691847,hm3,plan anual
8/10/2024 0:00,BATIMETRIA_MAURO,DAYM,2.174453724,hm3,plan mensual
8/10/2024 0:00,DISPONIBILIDAD_FISICA_CAEX,FWTDS,48.90255017,%,plan semanal
8/10/2024 0:00,MOVIMIENTO_MINA,HFWTD,326.155212,kt,plan mensual
8/10/2024 0:00,POT_2,YTDSB,0.725033214,inch,real
8/10/2024 0:00,REMANEJO,7LD,631.1446724,kt,real
8/10/2024 0:00,REMANEJO_A_CH,DAYM,15701.28939,kt,plan mensual
8/10/2024 0:00,RENDIMIENTO,YTDS,4163.616911,tph,null
8/10/2024 0:00,RENDIMIENTO_LINEA_123,WTDM,4294.767333,kt,plan mensual
8/10/2024 5:40,MP10_HOTELMINA,MINUTES,472.0224708,ug/m3N,real
8/10/2024 12:10,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
8/10/2024 15:10,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
8/10/2024 23:30,MP10_CHACAY,MINUTES,13.80444112,ug/m3N,real
8/11/2024 0:00,BOOSTER,MTD,0.903496731,l/s,real
8/11/2024 0:00,DISPONIBILIDAD_FISICA_PALAS,7LDM,26.17832634,%,plan mensual
8/11/2024 0:00,ENVIOS_AGUAS_MINA_PLANTA,DAYM,5.183233692,l/s,plan mensual
8/11/2024 0:00,F80,MTD,0.027263452,pulgadas,plan mensual
8/11/2024 0:00,OTRAS_FUENTES,DAYM,60.22639781,l/s,plan mensual
8/11/2024 0:00,PLANTA_CONCENTRADORA_LEY_MO,YTD,6.737152684,ppm,plan anual
8/11/2024 0:00,PORC_SOLIDOS_STR,7LD,41.00547509,%,plan semanal
8/11/2024 0:00,RECUPERACION_GLOBAL_MO,DAY,41.48121428,%,real
8/11/2024 0:00,TRANSPORTADO_STC,MTD,24745.37397,t,real
8/11/2024 0:00,TRANSPORTADO_STMG,FWTDS,46.75598215,kt,plan semanal
8/12/2024 0:00,BATIMETRIA_MAURO,FWTD,1.212489733,hm3,real
8/12/2024 0:00,CONSUMO_AGUA_FRESCA_A_PROCESO,DAY,48.33151395,l/s,real
8/12/2024 0:00,DISPONIBILIDAD_FISICA_PALAS,DAYM,10.34511226,%,plan mensual
8/12/2024 0:00,EXTRACCION_MINA_F9SE,WTD,63.93582412,kt,plan semanal
8/12/2024 0:00,PLANTA_CONCENTRADORA_MO_FINO_PRODUCIDO_PROY,DAY,0,tmf,real
8/12/2024 0:00,POT_BM_6,YTD,3198.263729,kW,real
8/12/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_GLOBAL_ST,7LDM,149.0455015,%,plan mensual
8/12/2024 0:00,RECUPERACION_CU,HFWTD,294.4201329,Tms,plan mensual
8/12/2024 0:00,SUPRESION_CV_06,YTD,0.244455103,l/s,real
8/12/2024 0:00,TRANSPORTADO_STC,WTD,236.9935185,t,plan semanal
8/12/2024 0:00,TRANSPORTADO_STMG,HFWTD,291.1507542,kt,real
8/13/2024 0:00,EXTRACCION_MINA,DAYY,314.1891058,kt,plan anual
8/13/2024 0:00,EXTRACCION_MINA_F11W,WTD,160.6178386,kt,plan semanal
8/13/2024 0:00,EXTRACCION_MINA_F9SE,7LD,844.8201947,kt,plan semanal
8/13/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,WTDM,8.721367583,tmf,plan mensual
8/13/2024 0:00,RECUPERACION_TOTAL_DE_MOLIBDENO_DENOMINADOR,7LDM,5.30E+11,kt,plan mensual
8/14/2024 0:00,RECIRCULACION_DE_PEBBLES,DAY,559.1404637,tph,plan semanal
8/16/2024 0:00,DISPONIBILIDAD_FISICA_CAEX,DAYM,46.11274483,%,plan mensual
